x,y,label,type,respID,qID,altID,obsID
0,0,Start,Node,2274,5,1,13643
0,-0.5,Car,Transit,2274,5,1,13643
0,-1,End,Node,2274,5,1,13643
0,0,"Start
(2 min wait)",Node,2274,5,2,13643
0,-0.25,Uber/Lyft,Transit,2274,5,2,13643
0,-0.5,"Transfer
(2 min wait)",Node,2274,5,2,13643
0,-0.75,Bus,Transit,2274,5,2,13643
0,-1,Transfer,Node,2274,5,2,13643
0,-1.125,Walk (5 min),Transit,2274,5,2,13643
0,-1.25,End,Node,2274,5,2,13643
0,0,Start,Node,2274,5,3,13643
0,-0.08333333333333333,Walk (5 min),Transit,2274,5,3,13643
0,-0.16666666666666666,"Transfer
(2 min wait)",Node,2274,5,3,13643
0,-0.3333333333333333,Bus,Transit,2274,5,3,13643
0,-0.5,"Transfer
(2 min wait)",Node,2274,5,3,13643
0,-0.6666666666666666,Bus,Transit,2274,5,3,13643
0,-0.8333333333333333,"Transfer
(2 min wait)",Node,2274,5,3,13643
0,-0.9999999999999999,Taxi,Transit,2274,5,3,13643
0,-1.1666666666666667,End,Node,2274,5,3,13643
0,0,"Start
(5 min wait)",Node,2274,6,1,13644
0,-0.16666666666666666,Taxi,Transit,2274,6,1,13644
0,-0.3333333333333333,"Transfer
(5 min wait)",Node,2274,6,1,13644
0,-0.5,Bus,Transit,2274,6,1,13644
0,-0.6666666666666666,"Transfer
(5 min wait)",Node,2274,6,1,13644
0,-0.8333333333333333,Bus,Transit,2274,6,1,13644
0,-1,Transfer,Node,2274,6,1,13644
0,-1.0833333333333333,Walk (2 min),Transit,2274,6,1,13644
0,-1.1666666666666667,End,Node,2274,6,1,13644
0,0,Start,Node,2274,6,2,13644
0,-0.25,Car,Transit,2274,6,2,13644
0,-0.5,"Transfer
(5 min wait)",Node,2274,6,2,13644
0,-0.75,Bus,Transit,2274,6,2,13644
0,-1,Transfer,Node,2274,6,2,13644
0,-1.125,Walk (2 min),Transit,2274,6,2,13644
0,-1.25,End,Node,2274,6,2,13644
0,0,"Start
(10 min wait)",Node,2274,6,3,13644
0,-0.5,Uber/Lyft,Transit,2274,6,3,13644
0,-1,End,Node,2274,6,3,13644
