x,y,label,node,line,labelType,respID,qID,altID,obsID
0,0,Start,0,0,Terminal,1570,1,1,9415
0,-0.25,Walk (10 min),0,0,Transit,1570,1,1,9415
0,-0.5,"Transfer
(2 min wait)",1,1,Node,1570,1,1,9415
0,-1,Bus,0,0,Transit,1570,1,1,9415
0,-1.5,Transfer,1,1,Node,1570,1,1,9415
0,-1.75,Walk (5 min),0,0,Transit,1570,1,1,9415
0,-2,End,0,0,Terminal,1570,1,1,9415
0,0,"Start
(10 min wait)",0,1,Terminal,1570,1,2,9415
0,-0.25,Taxi,0,0,Transit,1570,1,2,9415
0,-0.5,"Transfer
(5 min wait)",1,0,Node,1570,1,2,9415
0,-0.75,Bus,0,0,Transit,1570,1,2,9415
0,-1,Transfer,1,1,Node,1570,1,2,9415
0,-1.125,Walk (2 min),0,0,Transit,1570,1,2,9415
0,-1.25,End,0,0,Terminal,1570,1,2,9415
0,0,Start,0,0,Terminal,1570,1,3,9415
0,-0.08333333333333333,Walk (5 min),0,0,Transit,1570,1,3,9415
0,-0.16666666666666666,"Transfer
(2 min wait)",1,1,Node,1570,1,3,9415
0,-0.3333333333333333,Bus,0,0,Transit,1570,1,3,9415
0,-0.5,"Transfer
(2 min wait)",1,0,Node,1570,1,3,9415
0,-0.6666666666666666,Bus,0,0,Transit,1570,1,3,9415
0,-0.8333333333333333,"Transfer
(2 min wait)",1,0,Node,1570,1,3,9415
0,-0.9999999999999999,Taxi,0,0,Transit,1570,1,3,9415
0,-1.1666666666666667,End,0,1,Terminal,1570,1,3,9415
0,0,Start,0,0,Terminal,1570,2,1,9416
0,-0.08333333333333333,Walk (10 min),0,0,Transit,1570,2,1,9416
0,-0.16666666666666666,"Transfer
(2 min wait)",1,1,Node,1570,2,1,9416
0,-0.3333333333333333,Bus,0,0,Transit,1570,2,1,9416
0,-0.5,"Transfer
(2 min wait)",1,0,Node,1570,2,1,9416
0,-0.6666666666666666,Bus,0,0,Transit,1570,2,1,9416
0,-0.8333333333333333,"Transfer
(2 min wait)",1,0,Node,1570,2,1,9416
0,-0.9999999999999999,Taxi,0,0,Transit,1570,2,1,9416
0,-1.1666666666666667,End,0,1,Terminal,1570,2,1,9416
0,0,"Start
(10 min wait)",0,1,Terminal,1570,2,2,9416
0,-0.5,Taxi,0,0,Transit,1570,2,2,9416
0,-1,End,0,1,Terminal,1570,2,2,9416
0,0,Start,0,0,Terminal,1570,2,3,9416
0,-0.25,Walk (5 min),0,0,Transit,1570,2,3,9416
0,-0.5,"Transfer
(2 min wait)",1,1,Node,1570,2,3,9416
0,-1,Bus,0,0,Transit,1570,2,3,9416
0,-1.5,Transfer,1,1,Node,1570,2,3,9416
0,-1.75,Walk (5 min),0,0,Transit,1570,2,3,9416
0,-2,End,0,0,Terminal,1570,2,3,9416
0,0,Start,0,1,Terminal,1570,3,1,9417
0,-0.25,Car,0,0,Transit,1570,3,1,9417
0,-0.5,"Transfer
(5 min wait)",1,0,Node,1570,3,1,9417
0,-0.75,Bus,0,0,Transit,1570,3,1,9417
0,-1,Transfer,1,1,Node,1570,3,1,9417
0,-1.125,Walk (5 min),0,0,Transit,1570,3,1,9417
0,-1.25,End,0,0,Terminal,1570,3,1,9417
0,0,Start,0,1,Terminal,1570,3,2,9417
0,-0.25,Car,0,0,Transit,1570,3,2,9417
0,-0.5,"Transfer
(5 min wait)",1,0,Node,1570,3,2,9417
0,-0.75,Bus,0,0,Transit,1570,3,2,9417
0,-1,Transfer,1,1,Node,1570,3,2,9417
0,-1.125,Walk (10 min),0,0,Transit,1570,3,2,9417
0,-1.25,End,0,0,Terminal,1570,3,2,9417
0,0,Start,0,0,Terminal,1570,3,3,9417
0,-0.08333333333333333,Walk (2 min),0,0,Transit,1570,3,3,9417
0,-0.16666666666666666,"Transfer
(2 min wait)",1,1,Node,1570,3,3,9417
0,-0.3333333333333333,Bus,0,0,Transit,1570,3,3,9417
0,-0.5,"Transfer
(2 min wait)",1,0,Node,1570,3,3,9417
0,-0.6666666666666666,Bus,0,0,Transit,1570,3,3,9417
0,-0.8333333333333333,"Transfer
(2 min wait)",1,0,Node,1570,3,3,9417
0,-0.9999999999999999,Bus,0,0,Transit,1570,3,3,9417
0,-1.1666666666666667,Transfer,1,1,Node,1570,3,3,9417
0,-1.25,Walk (10 min),0,0,Transit,1570,3,3,9417
0,-1.3333333333333335,End,0,0,Terminal,1570,3,3,9417
0,0,Start,0,1,Terminal,1570,4,1,9418
0,-0.25,Car,0,0,Transit,1570,4,1,9418
0,-0.5,"Transfer
(10 min wait)",1,0,Node,1570,4,1,9418
0,-0.75,Bus,0,0,Transit,1570,4,1,9418
0,-1,Transfer,1,1,Node,1570,4,1,9418
0,-1.125,Walk (5 min),0,0,Transit,1570,4,1,9418
0,-1.25,End,0,0,Terminal,1570,4,1,9418
0,0,Start,0,0,Terminal,1570,4,2,9418
0,-0.08333333333333333,Walk (5 min),0,0,Transit,1570,4,2,9418
0,-0.16666666666666666,"Transfer
(5 min wait)",1,1,Node,1570,4,2,9418
0,-0.3333333333333333,Bus,0,0,Transit,1570,4,2,9418
0,-0.5,"Transfer
(5 min wait)",1,0,Node,1570,4,2,9418
0,-0.6666666666666666,Bus,0,0,Transit,1570,4,2,9418
0,-0.8333333333333333,"Transfer
(10 min wait)",1,0,Node,1570,4,2,9418
0,-0.9999999999999999,Uber/Lyft,0,0,Transit,1570,4,2,9418
0,-1.1666666666666667,End,0,1,Terminal,1570,4,2,9418
0,0,"Start
(2 min wait)",0,1,Terminal,1570,4,3,9418
0,-0.25,Taxi,0,0,Transit,1570,4,3,9418
0,-0.5,"Transfer
(10 min wait)",1,0,Node,1570,4,3,9418
0,-0.75,Bus,0,0,Transit,1570,4,3,9418
0,-1,Transfer,1,1,Node,1570,4,3,9418
0,-1.125,Walk (10 min),0,0,Transit,1570,4,3,9418
0,-1.25,End,0,0,Terminal,1570,4,3,9418
0,0,Start,0,1,Terminal,1570,5,1,9419
0,-0.16666666666666666,Car,0,0,Transit,1570,5,1,9419
0,-0.3333333333333333,"Transfer
(2 min wait)",1,0,Node,1570,5,1,9419
0,-0.5,Bus,0,0,Transit,1570,5,1,9419
0,-0.6666666666666666,"Transfer
(10 min wait)",1,0,Node,1570,5,1,9419
0,-0.8333333333333333,Taxi,0,0,Transit,1570,5,1,9419
0,-1,End,0,1,Terminal,1570,5,1,9419
0,0,Start,0,0,Terminal,1570,5,2,9419
0,-0.25,Walk (10 min),0,0,Transit,1570,5,2,9419
0,-0.5,"Transfer
(2 min wait)",1,1,Node,1570,5,2,9419
0,-1,Bus,0,0,Transit,1570,5,2,9419
0,-1.5,Transfer,1,1,Node,1570,5,2,9419
0,-1.75,Walk (5 min),0,0,Transit,1570,5,2,9419
0,-2,End,0,0,Terminal,1570,5,2,9419
0,0,"Start
(10 min wait)",0,1,Terminal,1570,5,3,9419
0,-0.16666666666666666,Uber/Lyft,0,0,Transit,1570,5,3,9419
0,-0.3333333333333333,"Transfer
(10 min wait)",1,0,Node,1570,5,3,9419
0,-0.5,Bus,0,0,Transit,1570,5,3,9419
0,-0.6666666666666666,"Transfer
(10 min wait)",1,0,Node,1570,5,3,9419
0,-0.8333333333333333,Bus,0,0,Transit,1570,5,3,9419
