x,y,label,node,line,labelType,respID,qID,altID,obsID
0,0,Start,0,0,Terminal,1682,1,1,10087
0,-0.25,Walk (5 min),0,0,Transit,1682,1,1,10087
0,-0.5,"Transfer
(2 min wait)",1,1,Node,1682,1,1,10087
0,-1,Bus,0,0,Transit,1682,1,1,10087
0,-1.5,Transfer,1,1,Node,1682,1,1,10087
0,-1.75,Walk (10 min),0,0,Transit,1682,1,1,10087
0,-2,End,0,0,Terminal,1682,1,1,10087
0,0,"Start
(5 min wait)",0,1,Terminal,1682,1,2,10087
0,-0.5,Taxi,0,0,Transit,1682,1,2,10087
0,-1,End,0,1,Terminal,1682,1,2,10087
0,0,Start,0,0,Terminal,1682,1,3,10087
0,-0.25,Walk (5 min),0,0,Transit,1682,1,3,10087
0,-0.5,"Transfer
(2 min wait)",1,1,Node,1682,1,3,10087
0,-1,Bus,0,0,Transit,1682,1,3,10087
0,-1.5,Transfer,1,1,Node,1682,1,3,10087
0,-1.75,Walk (2 min),0,0,Transit,1682,1,3,10087
0,-2,End,0,0,Terminal,1682,1,3,10087
0,0,Start,0,1,Terminal,1682,2,1,10088
0,-0.25,Car,0,0,Transit,1682,2,1,10088
0,-0.5,"Transfer
(5 min wait)",1,0,Node,1682,2,1,10088
0,-0.75,Bus,0,0,Transit,1682,2,1,10088
0,-1,Transfer,1,1,Node,1682,2,1,10088
0,-1.125,Walk (10 min),0,0,Transit,1682,2,1,10088
0,-1.25,End,0,0,Terminal,1682,2,1,10088
0,0,Start,0,0,Terminal,1682,2,2,10088
0,-0.25,Walk (2 min),0,0,Transit,1682,2,2,10088
0,-0.5,"Transfer
(2 min wait)",1,1,Node,1682,2,2,10088
0,-1,Bus,0,0,Transit,1682,2,2,10088
0,-1.5,Transfer,1,1,Node,1682,2,2,10088
0,-1.75,Walk (10 min),0,0,Transit,1682,2,2,10088
0,-2,End,0,0,Terminal,1682,2,2,10088
0,0,"Start
(10 min wait)",0,1,Terminal,1682,2,3,10088
0,-0.5,Uber/Lyft,0,0,Transit,1682,2,3,10088
0,-1,End,0,1,Terminal,1682,2,3,10088
0,0,Start,0,1,Terminal,1682,3,1,10089
0,-0.25,Car,0,0,Transit,1682,3,1,10089
0,-0.5,"Transfer
(5 min wait)",1,0,Node,1682,3,1,10089
0,-0.75,Bus,0,0,Transit,1682,3,1,10089
0,-1,Transfer,1,1,Node,1682,3,1,10089
0,-1.125,Walk (5 min),0,0,Transit,1682,3,1,10089
0,-1.25,End,0,0,Terminal,1682,3,1,10089
0,0,Start,0,0,Terminal,1682,3,2,10089
0,-0.25,Walk (10 min),0,0,Transit,1682,3,2,10089
0,-0.5,"Transfer
(2 min wait)",1,1,Node,1682,3,2,10089
0,-1,Bus,0,0,Transit,1682,3,2,10089
0,-1.5,Transfer,1,1,Node,1682,3,2,10089
0,-1.75,Walk (2 min),0,0,Transit,1682,3,2,10089
0,-2,End,0,0,Terminal,1682,3,2,10089
0,0,Start,0,1,Terminal,1682,3,3,10089
0,-0.16666666666666666,Car,0,0,Transit,1682,3,3,10089
0,-0.3333333333333333,"Transfer
(2 min wait)",1,0,Node,1682,3,3,10089
0,-0.5,Bus,0,0,Transit,1682,3,3,10089
0,-0.6666666666666666,"Transfer
(5 min wait)",1,0,Node,1682,3,3,10089
0,-0.8333333333333333,Taxi,0,0,Transit,1682,3,3,10089
0,-1,End,0,1,Terminal,1682,3,3,10089
0,0,Start,0,1,Terminal,1682,4,1,10090
0,-0.5,Car,0,0,Transit,1682,4,1,10090
0,-1,End,0,1,Terminal,1682,4,1,10090
0,0,"Start
(10 min wait)",0,1,Terminal,1682,4,2,10090
0,-0.25,Taxi,0,0,Transit,1682,4,2,10090
0,-0.5,"Transfer
(2 min wait)",1,0,Node,1682,4,2,10090
0,-0.75,Bus,0,0,Transit,1682,4,2,10090
0,-1,Transfer,1,1,Node,1682,4,2,10090
0,-1.125,Walk (10 min),0,0,Transit,1682,4,2,10090
0,-1.25,End,0,0,Terminal,1682,4,2,10090
0,0,"Start
(5 min wait)",0,1,Terminal,1682,4,3,10090
0,-0.16666666666666666,Uber/Lyft,0,0,Transit,1682,4,3,10090
0,-0.3333333333333333,"Transfer
(2 min wait)",1,0,Node,1682,4,3,10090
0,-0.5,Bus,0,0,Transit,1682,4,3,10090
