x,y,label,node,line,labelType,respID,qID,altID,obsID
0,0,"Start
(10 min wait)",0,1,Terminal,503,1,1,3013
0,-0.5,Taxi,0,0,Transit,503,1,1,3013
0,-1,End,0,1,Terminal,503,1,1,3013
0,0,Start,0,1,Terminal,503,1,2,3013
0,-0.25,Car,0,0,Transit,503,1,2,3013
0,-0.5,"Transfer
(2 min wait)",1,0,Node,503,1,2,3013
0,-0.75,Bus,0,0,Transit,503,1,2,3013
0,-1,Transfer,1,1,Node,503,1,2,3013
0,-1.125,Walk (5 min),0,0,Transit,503,1,2,3013
0,-1.25,End,0,0,Terminal,503,1,2,3013
0,0,Start,0,1,Terminal,503,1,3,3013
0,-0.16666666666666666,Car,0,0,Transit,503,1,3,3013
0,-0.3333333333333333,"Transfer
(5 min wait)",1,0,Node,503,1,3,3013
0,-0.5,Bus,0,0,Transit,503,1,3,3013
0,-0.6666666666666666,"Transfer
(5 min wait)",1,0,Node,503,1,3,3013
0,-0.8333333333333333,Bus,0,0,Transit,503,1,3,3013
0,-1,Transfer,1,1,Node,503,1,3,3013
0,-1.0833333333333333,Walk (5 min),0,0,Transit,503,1,3,3013
0,-1.1666666666666667,End,0,0,Terminal,503,1,3,3013
0,0,Start,0,1,Terminal,503,2,1,3014
0,-0.16666666666666666,Car,0,0,Transit,503,2,1,3014
0,-0.3333333333333333,"Transfer
(5 min wait)",1,0,Node,503,2,1,3014
0,-0.5,Bus,0,0,Transit,503,2,1,3014
0,-0.6666666666666666,"Transfer
(2 min wait)",1,0,Node,503,2,1,3014
0,-0.8333333333333333,Uber/Lyft,0,0,Transit,503,2,1,3014
0,-1,End,0,1,Terminal,503,2,1,3014
0,0,"Start
(5 min wait)",0,1,Terminal,503,2,2,3014
0,-0.25,Taxi,0,0,Transit,503,2,2,3014
0,-0.5,"Transfer
(5 min wait)",1,0,Node,503,2,2,3014
0,-0.75,Bus,0,0,Transit,503,2,2,3014
0,-1,Transfer,1,1,Node,503,2,2,3014
0,-1.125,Walk (2 min),0,0,Transit,503,2,2,3014
0,-1.25,End,0,0,Terminal,503,2,2,3014
0,0,Start,0,1,Terminal,503,2,3,3014
0,-0.5,Car,0,0,Transit,503,2,3,3014
0,-1,End,0,1,Terminal,503,2,3,3014
0,0,"Start
(5 min wait)",0,1,Terminal,503,3,1,3015
0,-0.5,Uber/Lyft,0,0,Transit,503,3,1,3015
0,-1,End,0,1,Terminal,503,3,1,3015
0,0,"Start
(5 min wait)",0,1,Terminal,503,3,2,3015
0,-0.25,Taxi,0,0,Transit,503,3,2,3015
0,-0.5,"Transfer
(5 min wait)",1,0,Node,503,3,2,3015
0,-0.75,Bus,0,0,Transit,503,3,2,3015
0,-1,Transfer,1,1,Node,503,3,2,3015
