x,y,label,type,respID,qID,altID,obsID
0,0,Start (10 min wait),Node,406,1,1,2431
0,0.16666666666666666,Uber/Lyft,Vehicle,406,1,1,2431
0,0.3333333333333333,Transfer (10 min wait),Node,406,1,1,2431
0,0.5,Bus,Vehicle,406,1,1,2431
0,0.6666666666666666,Transfer (10 min wait),Node,406,1,1,2431
0,0.8333333333333333,Bus,Vehicle,406,1,1,2431
0,0.9166666666666666,,Node,406,1,1,2431
0,0.9583333333333333,Walk (2 min),Vehicle,406,1,1,2431
0,1,End,Node,406,1,1,2431
0,0,Start,Node,406,1,2,2431
0,0.25,Car,Vehicle,406,1,2,2431
0,0.5,Transfer (2 min wait),Node,406,1,2,2431
0,0.75,Bus,Vehicle,406,1,2,2431
0,0.875,,Node,406,1,2,2431
0,0.9375,Walk (5 min),Vehicle,406,1,2,2431
0,1,End,Node,406,1,2,2431
0,0,Start (2 min wait),Node,406,1,3,2431
0,0.16666666666666666,Taxi,Vehicle,406,1,3,2431
0,0.3333333333333333,Transfer (10 min wait),Node,406,1,3,2431
0,0.5,Bus,Vehicle,406,1,3,2431
0,0.6666666666666666,Transfer (10 min wait),Node,406,1,3,2431
0,0.8333333333333333,Bus,Vehicle,406,1,3,2431
0,0.9166666666666666,,Node,406,1,3,2431
0,0.9583333333333333,Walk (2 min),Vehicle,406,1,3,2431
0,1,End,Node,406,1,3,2431
0,0,Start,Node,406,2,1,2432
0,0.5,Car,Vehicle,406,2,1,2432
0,1,End,Node,406,2,1,2432
0,0,Start,Node,406,2,2,2432
0,0.25,Car,Vehicle,406,2,2,2432
0,0.5,Transfer (2 min wait),Node,406,2,2,2432
0,0.75,Bus,Vehicle,406,2,2,2432
0,0.875,,Node,406,2,2,2432
0,0.9375,Walk (2 min),Vehicle,406,2,2,2432
0,1,End,Node,406,2,2,2432
0,0,Start (2 min wait),Node,406,2,3,2432
0,0.25,Uber/Lyft,Vehicle,406,2,3,2432
0,0.5,Transfer (5 min wait),Node,406,2,3,2432
0,0.75,Bus,Vehicle,406,2,3,2432
0,0.875,,Node,406,2,3,2432
0,0.9375,Walk (10 min),Vehicle,406,2,3,2432
0,1,End,Node,406,2,3,2432
0,0,Start (10 min wait),Node,406,3,1,2433
0,0.25,Uber/Lyft,Vehicle,406,3,1,2433
0,0.5,Transfer (5 min wait),Node,406,3,1,2433
0,0.75,Bus,Vehicle,406,3,1,2433
0,0.875,,Node,406,3,1,2433
0,0.9375,Walk (10 min),Vehicle,406,3,1,2433
0,1,End,Node,406,3,1,2433
0,0,Start (5 min wait),Node,406,3,2,2433
0,0.16666666666666666,Taxi,Vehicle,406,3,2,2433
0,0.3333333333333333,Transfer (5 min wait),Node,406,3,2,2433
0,0.5,Bus,Vehicle,406,3,2,2433
0,0.6666666666666666,Transfer (5 min wait),Node,406,3,2,2433
0,0.8333333333333333,Taxi,Vehicle,406,3,2,2433
0,1,End,Node,406,3,2,2433
0,0,Start (2 min wait),Node,406,3,3,2433
0,0.25,Uber/Lyft,Vehicle,406,3,3,2433
0,0.5,Transfer (2 min wait),Node,406,3,3,2433
0,0.75,Bus,Vehicle,406,3,3,2433
0,0.875,,Node,406,3,3,2433
0,0.9375,Walk (5 min),Vehicle,406,3,3,2433
0,1,End,Node,406,3,3,2433
0,0,Start,Node,406,4,1,2434
0,0.25,Car,Vehicle,406,4,1,2434
0,0.5,Transfer (10 min wait),Node,406,4,1,2434
0,0.75,Bus,Vehicle,406,4,1,2434
0,0.875,,Node,406,4,1,2434
0,0.9375,Walk (5 min),Vehicle,406,4,1,2434
0,1,End,Node,406,4,1,2434
0,0,Start,Node,406,4,2,2434
0,0.5,Car,Vehicle,406,4,2,2434
0,1,End,Node,406,4,2,2434
0,0,Start,Node,406,4,3,2434
0,0.5,Car,Vehicle,406,4,3,2434
0,1,End,Node,406,4,3,2434
0,0,Start,Node,406,5,1,2435
0,0.25,Car,Vehicle,406,5,1,2435
0,0.5,Transfer (5 min wait),Node,406,5,1,2435
0,0.75,Bus,Vehicle,406,5,1,2435
0,0.875,,Node,406,5,1,2435
0,0.9375,Walk (2 min),Vehicle,406,5,1,2435
0,1,End,Node,406,5,1,2435
0,0,Start (10 min wait),Node,406,5,2,2435
0,0.25,Taxi,Vehicle,406,5,2,2435
0,0.5,Transfer (2 min wait),Node,406,5,2,2435
0,0.75,Bus,Vehicle,406,5,2,2435
0,0.875,,Node,406,5,2,2435
0,0.9375,Walk (10 min),Vehicle,406,5,2,2435
0,1,End,Node,406,5,2,2435
0,0,Start,Node,406,5,3,2435
0,0.16666666666666666,Car,Vehicle,406,5,3,2435
0,0.3333333333333333,Transfer (10 min wait),Node,406,5,3,2435
0,0.5,Bus,Vehicle,406,5,3,2435
0,0.6666666666666666,Transfer (10 min wait),Node,406,5,3,2435
0,0.8333333333333333,Bus,Vehicle,406,5,3,2435
0,0.9166666666666666,,Node,406,5,3,2435
0,0.9583333333333333,Walk (5 min),Vehicle,406,5,3,2435
0,1,End,Node,406,5,3,2435
0,0,Start (5 min wait),Node,406,6,1,2436
0,0.041666666666666664,Walk (2 min),Vehicle,406,6,1,2436
0,0.08333333333333333,,Node,406,6,1,2436
0,0.16666666666666666,Bus,Vehicle,406,6,1,2436
0,0.3333333333333333,Transfer (5 min wait),Node,406,6,1,2436
0,0.5,Bus,Vehicle,406,6,1,2436
0,0.6666666666666666,Transfer (5 min wait),Node,406,6,1,2436
0,0.8333333333333333,Taxi,Vehicle,406,6,1,2436
0,1,End,Node,406,6,1,2436
0,0,Start,Node,406,6,2,2436
0,0.16666666666666666,Car,Vehicle,406,6,2,2436
0,0.3333333333333333,Transfer (5 min wait),Node,406,6,2,2436
0,0.5,Bus,Vehicle,406,6,2,2436
0,0.6666666666666666,Transfer (5 min wait),Node,406,6,2,2436
0,0.8333333333333333,Taxi,Vehicle,406,6,2,2436
0,1,End,Node,406,6,2,2436
0,0,Start,Node,406,6,3,2436
0,0.16666666666666666,Car,Vehicle,406,6,3,2436
0,0.3333333333333333,Transfer (2 min wait),Node,406,6,3,2436
0,0.5,Bus,Vehicle,406,6,3,2436
0,0.6666666666666666,Transfer (2 min wait),Node,406,6,3,2436
0,0.8333333333333333,Bus,Vehicle,406,6,3,2436
0,0.9166666666666666,,Node,406,6,3,2436
0,0.9583333333333333,Walk (2 min),Vehicle,406,6,3,2436
0,1,End,Node,406,6,3,2436
