x,y,label,node,line,labelType,respID,qID,altID,obsID
0,0,Start,0,1,Terminal,1864,1,1,11179
0,-0.5,Car,0,0,Transit,1864,1,1,11179
0,-1,End,0,1,Terminal,1864,1,1,11179
0,0,"Start
(2 min wait)",0,1,Terminal,1864,1,2,11179
0,-0.25,Taxi,0,0,Transit,1864,1,2,11179
0,-0.5,"Transfer
(2 min wait)",1,0,Node,1864,1,2,11179
0,-0.75,Bus,0,0,Transit,1864,1,2,11179
0,-1,Transfer,1,1,Node,1864,1,2,11179
0,-1.125,Walk (10 min),0,0,Transit,1864,1,2,11179
0,-1.25,End,0,0,Terminal,1864,1,2,11179
0,0,Start,0,1,Terminal,1864,1,3,11179
0,-0.25,Car,0,0,Transit,1864,1,3,11179
0,-0.5,"Transfer
(2 min wait)",1,0,Node,1864,1,3,11179
0,-0.75,Bus,0,0,Transit,1864,1,3,11179
0,-1,Transfer,1,1,Node,1864,1,3,11179
0,-1.125,Walk (2 min),0,0,Transit,1864,1,3,11179
0,-1.25,End,0,0,Terminal,1864,1,3,11179
0,0,Start,0,0,Terminal,1864,2,1,11180
0,-0.25,Walk (10 min),0,0,Transit,1864,2,1,11180
0,-0.5,"Transfer
(10 min wait)",1,1,Node,1864,2,1,11180
0,-1,Bus,0,0,Transit,1864,2,1,11180
0,-1.5,Transfer,1,1,Node,1864,2,1,11180
0,-1.75,Walk (2 min),0,0,Transit,1864,2,1,11180
0,-2,End,0,0,Terminal,1864,2,1,11180
0,0,Start,0,1,Terminal,1864,2,2,11180
0,-0.5,Car,0,0,Transit,1864,2,2,11180
0,-1,End,0,1,Terminal,1864,2,2,11180
0,0,Start,0,1,Terminal,1864,2,3,11180
0,-0.16666666666666666,Car,0,0,Transit,1864,2,3,11180
0,-0.3333333333333333,"Transfer
(5 min wait)",1,0,Node,1864,2,3,11180
0,-0.5,Bus,0,0,Transit,1864,2,3,11180
0,-0.6666666666666666,"Transfer
(5 min wait)",1,0,Node,1864,2,3,11180
0,-0.8333333333333333,Uber/Lyft,0,0,Transit,1864,2,3,11180
0,-1,End,0,1,Terminal,1864,2,3,11180
0,0,Start,0,1,Terminal,1864,3,1,11181
0,-0.16666666666666666,Car,0,0,Transit,1864,3,1,11181
0,-0.3333333333333333,"Transfer
(10 min wait)",1,0,Node,1864,3,1,11181
0,-0.5,Bus,0,0,Transit,1864,3,1,11181
0,-0.6666666666666666,"Transfer
(5 min wait)",1,0,Node,1864,3,1,11181
0,-0.8333333333333333,Uber/Lyft,0,0,Transit,1864,3,1,11181
0,-1,End,0,1,Terminal,1864,3,1,11181
0,0,Start,0,0,Terminal,1864,3,2,11181
0,-0.25,Walk (10 min),0,0,Transit,1864,3,2,11181
0,-0.5,"Transfer
(5 min wait)",1,1,Node,1864,3,2,11181
0,-1,Bus,0,0,Transit,1864,3,2,11181
0,-1.5,Transfer,1,1,Node,1864,3,2,11181
0,-1.75,Walk (10 min),0,0,Transit,1864,3,2,11181
0,-2,End,0,0,Terminal,1864,3,2,11181
0,0,"Start
(2 min wait)",0,1,Terminal,1864,3,3,11181
0,-0.16666666666666666,Taxi,0,0,Transit,1864,3,3,11181
0,-0.3333333333333333,"Transfer
(2 min wait)",1,0,Node,1864,3,3,11181
0,-0.5,Bus,0,0,Transit,1864,3,3,11181
0,-0.6666666666666666,"Transfer
(2 min wait)",1,0,Node,1864,3,3,11181
0,-0.8333333333333333,Taxi,0,0,Transit,1864,3,3,11181
0,-1,End,0,1,Terminal,1864,3,3,11181
0,0,Start,0,1,Terminal,1864,4,1,11182
0,-0.16666666666666666,Car,0,0,Transit,1864,4,1,11182
0,-0.3333333333333333,"Transfer
(2 min wait)",1,0,Node,1864,4,1,11182
0,-0.5,Bus,0,0,Transit,1864,4,1,11182
0,-0.6666666666666666,"Transfer
(5 min wait)",1,0,Node,1864,4,1,11182
0,-0.8333333333333333,Uber/Lyft,0,0,Transit,1864,4,1,11182
0,-1,End,0,1,Terminal,1864,4,1,11182
0,0,Start,0,0,Terminal,1864,4,2,11182
0,-0.125,Walk (2 min),0,0,Transit,1864,4,2,11182
0,-0.25,"Transfer
(10 min wait)",1,1,Node,1864,4,2,11182
0,-0.5,Bus,0,0,Transit,1864,4,2,11182
0,-0.75,"Transfer
(10 min wait)",1,0,Node,1864,4,2,11182
0,-1,Bus,0,0,Transit,1864,4,2,11182
0,-1.25,Transfer,1,1,Node,1864,4,2,11182
0,-1.375,Walk (5 min),0,0,Transit,1864,4,2,11182
0,-1.5,End,0,0,Terminal,1864,4,2,11182
0,0,Start,0,1,Terminal,1864,4,3,11182
0,-0.25,Car,0,0,Transit,1864,4,3,11182
0,-0.5,"Transfer
(2 min wait)",1,0,Node,1864,4,3,11182
0,-0.75,Bus,0,0,Transit,1864,4,3,11182
0,-1,Transfer,1,1,Node,1864,4,3,11182
0,-1.125,Walk (5 min),0,0,Transit,1864,4,3,11182
0,-1.25,End,0,0,Terminal,1864,4,3,11182
0,0,Start,0,1,Terminal,1864,5,1,11183
0,-0.5,Car,0,0,Transit,1864,5,1,11183
0,-1,End,0,1,Terminal,1864,5,1,11183
0,0,"Start
(2 min wait)",0,1,Terminal,1864,5,2,11183
0,-0.25,Taxi,0,0,Transit,1864,5,2,11183
0,-0.5,"Transfer
(10 min wait)",1,0,Node,1864,5,2,11183
0,-0.75,Bus,0,0,Transit,1864,5,2,11183
0,-1,Transfer,1,1,Node,1864,5,2,11183
0,-1.125,Walk (2 min),0,0,Transit,1864,5,2,11183
0,-1.25,End,0,0,Terminal,1864,5,2,11183
0,0,"Start
(5 min wait)",0,1,Terminal,1864,5,3,11183
0,-0.25,Uber/Lyft,0,0,Transit,1864,5,3,11183
0,-0.5,"Transfer
(10 min wait)",1,0,Node,1864,5,3,11183
0,-0.75,Bus,0,0,Transit,1864,5,3,11183
0,-1,Transfer,1,1,Node,1864,5,3,11183
0,-1.125,Walk (5 min),0,0,Transit,1864,5,3,11183
0,-1.25,End,0,0,Terminal,1864,5,3,11183
0,0,Start,0,1,Terminal,1864,6,1,11184
0,-0.16666666666666666,Car,0,0,Transit,1864,6,1,11184
0,-0.3333333333333333,"Transfer
(10 min wait)",1,0,Node,1864,6,1,11184
0,-0.5,Bus,0,0,Transit,1864,6,1,11184
0,-0.6666666666666666,"Transfer
(5 min wait)",1,0,Node,1864,6,1,11184
0,-0.8333333333333333,Uber/Lyft,0,0,Transit,1864,6,1,11184
0,-1,End,0,1,Terminal,1864,6,1,11184
0,0,"Start
(2 min wait)",0,1,Terminal,1864,6,2,11184
0,-0.25,Taxi,0,0,Transit,1864,6,2,11184
0,-0.5,"Transfer
(10 min wait)",1,0,Node,1864,6,2,11184
0,-0.75,Bus,0,0,Transit,1864,6,2,11184
0,-1,Transfer,1,1,Node,1864,6,2,11184
0,-1.125,Walk (10 min),0,0,Transit,1864,6,2,11184
0,-1.25,End,0,0,Terminal,1864,6,2,11184
0,0,Start,0,0,Terminal,1864,6,3,11184
0,-0.25,Walk (5 min),0,0,Transit,1864,6,3,11184
0,-0.5,"Transfer
(2 min wait)",1,1,Node,1864,6,3,11184
0,-1,Bus,0,0,Transit,1864,6,3,11184
0,-1.5,Transfer,1,1,Node,1864,6,3,11184
0,-1.75,Walk (10 min),0,0,Transit,1864,6,3,11184
0,-2,End,0,0,Terminal,1864,6,3,11184
