x,y,label,node,line,labelType,respID,qID,altID,obsID
0,0,Start,0,0,Terminal,2950,1,1,17695
0,-0.25,Walk (2 min),0,0,Transit,2950,1,1,17695
0,-0.5,"Transfer
(5 min wait)",1,1,Node,2950,1,1,17695
0,-1,Bus,0,0,Transit,2950,1,1,17695
0,-1.5,Transfer,1,1,Node,2950,1,1,17695
0,-1.75,Walk (2 min),0,0,Transit,2950,1,1,17695
0,-2,End,0,0,Terminal,2950,1,1,17695
0,0,Start,0,0,Terminal,2950,1,2,17695
0,-0.25,Walk (10 min),0,0,Transit,2950,1,2,17695
0,-0.5,"Transfer
(5 min wait)",1,1,Node,2950,1,2,17695
0,-1,Bus,0,0,Transit,2950,1,2,17695
0,-1.5,Transfer,1,1,Node,2950,1,2,17695
0,-1.75,Walk (5 min),0,0,Transit,2950,1,2,17695
0,-2,End,0,0,Terminal,2950,1,2,17695
0,0,Start,0,1,Terminal,2950,1,3,17695
0,-0.16666666666666666,Car,0,0,Transit,2950,1,3,17695
0,-0.3333333333333333,"Transfer
(2 min wait)",1,0,Node,2950,1,3,17695
0,-0.5,Bus,0,0,Transit,2950,1,3,17695
0,-0.6666666666666666,"Transfer
(5 min wait)",1,0,Node,2950,1,3,17695
0,-0.8333333333333333,Taxi,0,0,Transit,2950,1,3,17695
0,-1,End,0,1,Terminal,2950,1,3,17695
0,0,Start,0,1,Terminal,2950,2,1,17696
0,-0.5,Car,0,0,Transit,2950,2,1,17696
0,-1,End,0,1,Terminal,2950,2,1,17696
0,0,Start,0,0,Terminal,2950,2,2,17696
0,-0.08333333333333333,Walk (5 min),0,0,Transit,2950,2,2,17696
0,-0.16666666666666666,"Transfer
(5 min wait)",1,1,Node,2950,2,2,17696
0,-0.3333333333333333,Bus,0,0,Transit,2950,2,2,17696
0,-0.5,"Transfer
(5 min wait)",1,0,Node,2950,2,2,17696
0,-0.6666666666666666,Bus,0,0,Transit,2950,2,2,17696
0,-0.8333333333333333,"Transfer
(5 min wait)",1,0,Node,2950,2,2,17696
