x,y,label,node,line,labelType,respID,qID,altID,obsID,price,timeRange
0,0,Start,0,1,Terminal,2401,1,1,14401,10,48 - 72 minutes
0,-0.25,Car,0,0,Transit,2401,1,1,14401,10,48 - 72 minutes
0,-0.5,"Transfer
(5 min wait)",1,0,Node,2401,1,1,14401,10,48 - 72 minutes
0,-0.75,Bus,0,0,Transit,2401,1,1,14401,10,48 - 72 minutes
0,-1,Transfer,1,1,Node,2401,1,1,14401,10,48 - 72 minutes
0,-1.125,Walk (5 min),0,0,Transit,2401,1,1,14401,10,48 - 72 minutes
0,-1.25,End,0,0,Terminal,2401,1,1,14401,10,48 - 72 minutes
0,0,Start,0,1,Terminal,2401,1,2,14401,15,59 - 65 minutes
0,-0.16666666666666666,Car,0,0,Transit,2401,1,2,14401,15,59 - 65 minutes
0,-0.3333333333333333,"Transfer
(2 min wait)",1,0,Node,2401,1,2,14401,15,59 - 65 minutes
0,-0.5,Bus,0,0,Transit,2401,1,2,14401,15,59 - 65 minutes
0,-0.6666666666666666,"Transfer
(10 min wait)",1,0,Node,2401,1,2,14401,15,59 - 65 minutes
0,-0.8333333333333333,Taxi,0,0,Transit,2401,1,2,14401,15,59 - 65 minutes
0,-1,End,0,1,Terminal,2401,1,2,14401,15,59 - 65 minutes
0,0,"Start
(2 min wait)",0,1,Terminal,2401,1,3,14401,15,56 - 68 minutes
0,-0.5,Taxi,0,0,Transit,2401,1,3,14401,15,56 - 68 minutes
0,-1,End,0,1,Terminal,2401,1,3,14401,15,56 - 68 minutes
0,0,"Start
(10 min wait)",0,1,Terminal,2401,2,1,14402,20,63 - 77 minutes
0,-0.5,Taxi,0,0,Transit,2401,2,1,14402,20,63 - 77 minutes
0,-1,End,0,1,Terminal,2401,2,1,14402,20,63 - 77 minutes
0,0,"Start
(2 min wait)",0,1,Terminal,2401,2,2,14402,25,42 - 46 minutes
0,-0.16666666666666666,Uber/Lyft,0,0,Transit,2401,2,2,14402,25,42 - 46 minutes
0,-0.3333333333333333,"Transfer
(10 min wait)",1,0,Node,2401,2,2,14402,25,42 - 46 minutes
0,-0.5,Bus,0,0,Transit,2401,2,2,14402,25,42 - 46 minutes
0,-0.6666666666666666,"Transfer
(2 min wait)",1,0,Node,2401,2,2,14402,25,42 - 46 minutes
0,-0.8333333333333333,Uber/Lyft,0,0,Transit,2401,2,2,14402,25,42 - 46 minutes
0,-1,End,0,1,Terminal,2401,2,2,14402,25,42 - 46 minutes
0,0,Start,0,1,Terminal,2401,2,3,14402,10,38 - 42 minutes
0,-0.5,Car,0,0,Transit,2401,2,3,14402,10,38 - 42 minutes
0,-1,End,0,1,Terminal,2401,2,3,14402,10,38 - 42 minutes
0,0,Start,0,1,Terminal,2401,3,1,14403,15,28 - 32 minutes
0,-0.16666666666666666,Car,0,0,Transit,2401,3,1,14403,15,28 - 32 minutes
0,-0.3333333333333333,"Transfer
(5 min wait)",1,0,Node,2401,3,1,14403,15,28 - 32 minutes
0,-0.5,Bus,0,0,Transit,2401,3,1,14403,15,28 - 32 minutes
0,-0.6666666666666666,"Transfer
(5 min wait)",1,0,Node,2401,3,1,14403,15,28 - 32 minutes
0,-0.8333333333333333,Taxi,0,0,Transit,2401,3,1,14403,15,28 - 32 minutes
0,-1,End,0,1,Terminal,2401,3,1,14403,15,28 - 32 minutes
0,0,Start,0,0,Terminal,2401,3,2,14403,30,81 - 89 minutes
0,-0.25,Walk (10 min),0,0,Transit,2401,3,2,14403,30,81 - 89 minutes
0,-0.5,"Transfer
(10 min wait)",1,1,Node,2401,3,2,14403,30,81 - 89 minutes
0,-1,Bus,0,0,Transit,2401,3,2,14403,30,81 - 89 minutes
0,-1.5,Transfer,1,1,Node,2401,3,2,14403,30,81 - 89 minutes
0,-1.75,Walk (5 min),0,0,Transit,2401,3,2,14403,30,81 - 89 minutes
0,-2,End,0,0,Terminal,2401,3,2,14403,30,81 - 89 minutes
0,0,Start,0,0,Terminal,2401,3,3,14403,10,37 - 55 minutes
0,-0.08333333333333333,Walk (2 min),0,0,Transit,2401,3,3,14403,10,37 - 55 minutes
0,-0.16666666666666666,"Transfer
(2 min wait)",1,1,Node,2401,3,3,14403,10,37 - 55 minutes
0,-0.3333333333333333,Bus,0,0,Transit,2401,3,3,14403,10,37 - 55 minutes
0,-0.5,"Transfer
(2 min wait)",1,0,Node,2401,3,3,14403,10,37 - 55 minutes
0,-0.6666666666666666,Bus,0,0,Transit,2401,3,3,14403,10,37 - 55 minutes
0,-0.8333333333333333,"Transfer
(10 min wait)",1,0,Node,2401,3,3,14403,10,37 - 55 minutes
0,-0.9999999999999999,Taxi,0,0,Transit,2401,3,3,14403,10,37 - 55 minutes
0,-1.1666666666666667,End,0,1,Terminal,2401,3,3,14403,10,37 - 55 minutes
0,0,Start,0,1,Terminal,2401,4,1,14404,20,19 - 21 minutes
0,-0.5,Car,0,0,Transit,2401,4,1,14404,20,19 - 21 minutes
0,-1,End,0,1,Terminal,2401,4,1,14404,20,19 - 21 minutes
0,0,"Start
(2 min wait)",0,1,Terminal,2401,4,2,14404,25,37 - 41 minutes
0,-0.25,Uber/Lyft,0,0,Transit,2401,4,2,14404,25,37 - 41 minutes
0,-0.5,"Transfer
(5 min wait)",1,0,Node,2401,4,2,14404,25,37 - 41 minutes
0,-0.75,Bus,0,0,Transit,2401,4,2,14404,25,37 - 41 minutes
0,-1,Transfer,1,1,Node,2401,4,2,14404,25,37 - 41 minutes
0,-1.125,Walk (2 min),0,0,Transit,2401,4,2,14404,25,37 - 41 minutes
0,-1.25,End,0,0,Terminal,2401,4,2,14404,25,37 - 41 minutes
0,0,Start,0,1,Terminal,2401,4,3,14404,10,54 - 60 minutes
0,-0.16666666666666666,Car,0,0,Transit,2401,4,3,14404,10,54 - 60 minutes
0,-0.3333333333333333,"Transfer
(5 min wait)",1,0,Node,2401,4,3,14404,10,54 - 60 minutes
0,-0.5,Bus,0,0,Transit,2401,4,3,14404,10,54 - 60 minutes
0,-0.6666666666666666,"Transfer
(2 min wait)",1,0,Node,2401,4,3,14404,10,54 - 60 minutes
0,-0.8333333333333333,Uber/Lyft,0,0,Transit,2401,4,3,14404,10,54 - 60 minutes
0,-1,End,0,1,Terminal,2401,4,3,14404,10,54 - 60 minutes
0,0,Start,0,1,Terminal,2401,5,1,14405,15,45 - 49 minutes
0,-0.16666666666666666,Car,0,0,Transit,2401,5,1,14405,15,45 - 49 minutes
0,-0.3333333333333333,"Transfer
(2 min wait)",1,0,Node,2401,5,1,14405,15,45 - 49 minutes
0,-0.5,Bus,0,0,Transit,2401,5,1,14405,15,45 - 49 minutes
0,-0.6666666666666666,"Transfer
(5 min wait)",1,0,Node,2401,5,1,14405,15,45 - 49 minutes
0,-0.8333333333333333,Uber/Lyft,0,0,Transit,2401,5,1,14405,15,45 - 49 minutes
0,-1,End,0,1,Terminal,2401,5,1,14405,15,45 - 49 minutes
0,0,Start,0,0,Terminal,2401,5,2,14405,25,63 - 77 minutes
0,-0.08333333333333333,Walk (5 min),0,0,Transit,2401,5,2,14405,25,63 - 77 minutes
0,-0.16666666666666666,"Transfer
(5 min wait)",1,1,Node,2401,5,2,14405,25,63 - 77 minutes
0,-0.3333333333333333,Bus,0,0,Transit,2401,5,2,14405,25,63 - 77 minutes
0,-0.5,"Transfer
(5 min wait)",1,0,Node,2401,5,2,14405,25,63 - 77 minutes
0,-0.6666666666666666,Bus,0,0,Transit,2401,5,2,14405,25,63 - 77 minutes
0,-0.8333333333333333,"Transfer
(5 min wait)",1,0,Node,2401,5,2,14405,25,63 - 77 minutes
0,-0.9999999999999999,Uber/Lyft,0,0,Transit,2401,5,2,14405,25,63 - 77 minutes
0,-1.1666666666666667,End,0,1,Terminal,2401,5,2,14405,25,63 - 77 minutes
0,0,Start,0,1,Terminal,2401,5,3,14405,20,58 - 72 minutes
0,-0.16666666666666666,Car,0,0,Transit,2401,5,3,14405,20,58 - 72 minutes
0,-0.3333333333333333,"Transfer
(10 min wait)",1,0,Node,2401,5,3,14405,20,58 - 72 minutes
0,-0.5,Bus,0,0,Transit,2401,5,3,14405,20,58 - 72 minutes
0,-0.6666666666666666,"Transfer
(5 min wait)",1,0,Node,2401,5,3,14405,20,58 - 72 minutes
0,-0.8333333333333333,Uber/Lyft,0,0,Transit,2401,5,3,14405,20,58 - 72 minutes
0,-1,End,0,1,Terminal,2401,5,3,14405,20,58 - 72 minutes
0,0,Start,0,1,Terminal,2401,6,1,14406,20,40 - 60 minutes
0,-0.5,Car,0,0,Transit,2401,6,1,14406,20,40 - 60 minutes
0,-1,End,0,1,Terminal,2401,6,1,14406,20,40 - 60 minutes
0,0,Start,0,1,Terminal,2401,6,2,14406,20,38 - 42 minutes
0,-0.25,Car,0,0,Transit,2401,6,2,14406,20,38 - 42 minutes
0,-0.5,"Transfer
(5 min wait)",1,0,Node,2401,6,2,14406,20,38 - 42 minutes
0,-0.75,Bus,0,0,Transit,2401,6,2,14406,20,38 - 42 minutes
0,-1,Transfer,1,1,Node,2401,6,2,14406,20,38 - 42 minutes
0,-1.125,Walk (5 min),0,0,Transit,2401,6,2,14406,20,38 - 42 minutes
0,-1.25,End,0,0,Terminal,2401,6,2,14406,20,38 - 42 minutes
0,0,Start,0,0,Terminal,2401,6,3,14406,30,58 - 72 minutes
0,-0.08333333333333333,Walk (10 min),0,0,Transit,2401,6,3,14406,30,58 - 72 minutes
0,-0.16666666666666666,"Transfer
(10 min wait)",1,1,Node,2401,6,3,14406,30,58 - 72 minutes
0,-0.3333333333333333,Bus,0,0,Transit,2401,6,3,14406,30,58 - 72 minutes
0,-0.5,"Transfer
(10 min wait)",1,0,Node,2401,6,3,14406,30,58 - 72 minutes
0,-0.6666666666666666,Bus,0,0,Transit,2401,6,3,14406,30,58 - 72 minutes
0,-0.8333333333333333,"Transfer
(5 min wait)",1,0,Node,2401,6,3,14406,30,58 - 72 minutes
0,-0.9999999999999999,Taxi,0,0,Transit,2401,6,3,14406,30,58 - 72 minutes
0,-1.1666666666666667,End,0,1,Terminal,2401,6,3,14406,30,58 - 72 minutes
