x,y,label,node,line,labelType,respID,qID,altID,obsID
0,0,"Start
(10 min wait)",0,1,Terminal,1147,1,1,6877
0,-0.5,Uber/Lyft,0,0,Transit,1147,1,1,6877
0,-1,End,0,1,Terminal,1147,1,1,6877
0,0,"Start
(2 min wait)",0,1,Terminal,1147,1,2,6877
0,-0.25,Uber/Lyft,0,0,Transit,1147,1,2,6877
0,-0.5,"Transfer
(10 min wait)",1,0,Node,1147,1,2,6877
0,-0.75,Bus,0,0,Transit,1147,1,2,6877
0,-1,Transfer,1,1,Node,1147,1,2,6877
0,-1.125,Walk (2 min),0,0,Transit,1147,1,2,6877
0,-1.25,End,0,0,Terminal,1147,1,2,6877
0,0,"Start
(2 min wait)",0,1,Terminal,1147,1,3,6877
0,-0.25,Taxi,0,0,Transit,1147,1,3,6877
0,-0.5,"Transfer
(5 min wait)",1,0,Node,1147,1,3,6877
0,-0.75,Bus,0,0,Transit,1147,1,3,6877
0,-1,Transfer,1,1,Node,1147,1,3,6877
0,-1.125,Walk (10 min),0,0,Transit,1147,1,3,6877
0,-1.25,End,0,0,Terminal,1147,1,3,6877
0,0,Start,0,0,Terminal,1147,2,1,6878
0,-0.25,Walk (5 min),0,0,Transit,1147,2,1,6878
0,-0.5,"Transfer
(5 min wait)",1,1,Node,1147,2,1,6878
0,-1,Bus,0,0,Transit,1147,2,1,6878
0,-1.5,Transfer,1,1,Node,1147,2,1,6878
0,-1.75,Walk (5 min),0,0,Transit,1147,2,1,6878
0,-2,End,0,0,Terminal,1147,2,1,6878
0,0,Start,0,0,Terminal,1147,2,2,6878
0,-0.25,Walk (10 min),0,0,Transit,1147,2,2,6878
0,-0.5,"Transfer
(2 min wait)",1,1,Node,1147,2,2,6878
0,-1,Bus,0,0,Transit,1147,2,2,6878
0,-1.5,Transfer,1,1,Node,1147,2,2,6878
0,-1.75,Walk (10 min),0,0,Transit,1147,2,2,6878
0,-2,End,0,0,Terminal,1147,2,2,6878
0,0,Start,0,1,Terminal,1147,2,3,6878
0,-0.5,Car,0,0,Transit,1147,2,3,6878
0,-1,End,0,1,Terminal,1147,2,3,6878
0,0,Start,0,0,Terminal,1147,3,1,6879
0,-0.25,Walk (10 min),0,0,Transit,1147,3,1,6879
0,-0.5,"Transfer
(5 min wait)",1,1,Node,1147,3,1,6879
0,-1,Bus,0,0,Transit,1147,3,1,6879
0,-1.5,Transfer,1,1,Node,1147,3,1,6879
0,-1.75,Walk (10 min),0,0,Transit,1147,3,1,6879
0,-2,End,0,0,Terminal,1147,3,1,6879
0,0,Start,0,1,Terminal,1147,3,2,6879
0,-0.16666666666666666,Car,0,0,Transit,1147,3,2,6879
0,-0.3333333333333333,"Transfer
(10 min wait)",1,0,Node,1147,3,2,6879
0,-0.5,Bus,0,0,Transit,1147,3,2,6879
0,-0.6666666666666666,"Transfer
(2 min wait)",1,0,Node,1147,3,2,6879
0,-0.8333333333333333,Taxi,0,0,Transit,1147,3,2,6879
0,-1,End,0,1,Terminal,1147,3,2,6879
0,0,"Start
(10 min wait)",0,1,Terminal,1147,3,3,6879
0,-0.5,Uber/Lyft,0,0,Transit,1147,3,3,6879
0,-1,End,0,1,Terminal,1147,3,3,6879
0,0,Start,0,1,Terminal,1147,4,1,6880
0,-0.25,Car,0,0,Transit,1147,4,1,6880
0,-0.5,"Transfer
(2 min wait)",1,0,Node,1147,4,1,6880
0,-0.75,Bus,0,0,Transit,1147,4,1,6880
0,-1,Transfer,1,1,Node,1147,4,1,6880
0,-1.125,Walk (2 min),0,0,Transit,1147,4,1,6880
0,-1.25,End,0,0,Terminal,1147,4,1,6880
0,0,Start,0,1,Terminal,1147,4,2,6880
0,-0.25,Car,0,0,Transit,1147,4,2,6880
0,-0.5,"Transfer
(5 min wait)",1,0,Node,1147,4,2,6880
0,-0.75,Bus,0,0,Transit,1147,4,2,6880
0,-1,Transfer,1,1,Node,1147,4,2,6880
0,-1.125,Walk (10 min),0,0,Transit,1147,4,2,6880
0,-1.25,End,0,0,Terminal,1147,4,2,6880
