x,y,label,node,line,labelType,respID,qID,altID,obsID
0,-1.25,End,0,0,Terminal,401,5,2,2405
0,0,Start,0,0,Terminal,401,5,3,2405
0,-0.08333333333333333,Walk (10 min),0,0,Transit,401,5,3,2405
0,-0.16666666666666666,"Transfer
(2 min wait)",1,1,Node,401,5,3,2405
0,-0.3333333333333333,Bus,0,0,Transit,401,5,3,2405
0,-0.5,"Transfer
(2 min wait)",1,0,Node,401,5,3,2405
0,-0.6666666666666666,Bus,0,0,Transit,401,5,3,2405
0,-0.8333333333333333,"Transfer
(2 min wait)",1,0,Node,401,5,3,2405
0,-0.9999999999999999,Uber/Lyft,0,0,Transit,401,5,3,2405
0,-1.1666666666666667,End,0,1,Terminal,401,5,3,2405
0,0,"Start
(2 min wait)",0,1,Terminal,401,6,1,2406
0,-0.16666666666666666,Taxi,0,0,Transit,401,6,1,2406
0,-0.3333333333333333,"Transfer
(10 min wait)",1,0,Node,401,6,1,2406
0,-0.5,Bus,0,0,Transit,401,6,1,2406
0,-0.6666666666666666,"Transfer
(10 min wait)",1,0,Node,401,6,1,2406
0,-0.8333333333333333,Bus,0,0,Transit,401,6,1,2406
0,-1,Transfer,1,1,Node,401,6,1,2406
0,-1.0833333333333333,Walk (5 min),0,0,Transit,401,6,1,2406
0,-1.1666666666666667,End,0,0,Terminal,401,6,1,2406
0,0,"Start
(2 min wait)",0,1,Terminal,401,6,2,2406
0,-0.5,Taxi,0,0,Transit,401,6,2,2406
0,-1,End,0,1,Terminal,401,6,2,2406
0,0,Start,0,1,Terminal,401,6,3,2406
0,-0.16666666666666666,Car,0,0,Transit,401,6,3,2406
0,-0.3333333333333333,"Transfer
(2 min wait)",1,0,Node,401,6,3,2406
0,-0.5,Bus,0,0,Transit,401,6,3,2406
0,-0.6666666666666666,"Transfer
(2 min wait)",1,0,Node,401,6,3,2406
0,-0.8333333333333333,Bus,0,0,Transit,401,6,3,2406
0,-1,Transfer,1,1,Node,401,6,3,2406
0,-1.0833333333333333,Walk (10 min),0,0,Transit,401,6,3,2406
0,-1.1666666666666667,End,0,0,Terminal,401,6,3,2406
