x,y,label,node,line,labelType,respID,qID,altID,obsID
0,0,"Start
(10 min wait)",0,1,Terminal,475,1,1,2845
0,-0.16666666666666666,Taxi,0,0,Transit,475,1,1,2845
0,-0.3333333333333333,"Transfer
(10 min wait)",1,0,Node,475,1,1,2845
0,-0.5,Bus,0,0,Transit,475,1,1,2845
0,-0.6666666666666666,"Transfer
(10 min wait)",1,0,Node,475,1,1,2845
0,-0.8333333333333333,Taxi,0,0,Transit,475,1,1,2845
0,-1,End,0,1,Terminal,475,1,1,2845
0,0,"Start
(2 min wait)",0,1,Terminal,475,1,2,2845
0,-0.16666666666666666,Taxi,0,0,Transit,475,1,2,2845
0,-0.3333333333333333,"Transfer
(5 min wait)",1,0,Node,475,1,2,2845
0,-0.5,Bus,0,0,Transit,475,1,2,2845
0,-0.6666666666666666,"Transfer
(5 min wait)",1,0,Node,475,1,2,2845
0,-0.8333333333333333,Bus,0,0,Transit,475,1,2,2845
0,-1,Transfer,1,1,Node,475,1,2,2845
0,-1.0833333333333333,Walk (10 min),0,0,Transit,475,1,2,2845
0,-1.1666666666666667,End,0,0,Terminal,475,1,2,2845
0,0,Start,0,0,Terminal,475,1,3,2845
0,-0.25,Walk (10 min),0,0,Transit,475,1,3,2845
0,-0.5,"Transfer
(2 min wait)",1,1,Node,475,1,3,2845
0,-1,Bus,0,0,Transit,475,1,3,2845
0,-1.5,Transfer,1,1,Node,475,1,3,2845
0,-1.75,Walk (10 min),0,0,Transit,475,1,3,2845
0,-2,End,0,0,Terminal,475,1,3,2845
0,0,"Start
(10 min wait)",0,1,Terminal,475,2,1,2846
0,-0.16666666666666666,Uber/Lyft,0,0,Transit,475,2,1,2846
0,-0.3333333333333333,"Transfer
(5 min wait)",1,0,Node,475,2,1,2846
0,-0.5,Bus,0,0,Transit,475,2,1,2846
0,-0.6666666666666666,"Transfer
(5 min wait)",1,0,Node,475,2,1,2846
0,-0.8333333333333333,Bus,0,0,Transit,475,2,1,2846
0,-1,Transfer,1,1,Node,475,2,1,2846
0,-1.0833333333333333,Walk (2 min),0,0,Transit,475,2,1,2846
0,-1.1666666666666667,End,0,0,Terminal,475,2,1,2846
0,0,Start,0,1,Terminal,475,2,2,2846
0,-0.5,Car,0,0,Transit,475,2,2,2846
0,-1,End,0,1,Terminal,475,2,2,2846
0,0,Start,0,0,Terminal,475,2,3,2846
0,-0.25,Walk (10 min),0,0,Transit,475,2,3,2846
0,-0.5,"Transfer
(10 min wait)",1,1,Node,475,2,3,2846
0,-1,Bus,0,0,Transit,475,2,3,2846
0,-1.5,Transfer,1,1,Node,475,2,3,2846
0,-1.75,Walk (2 min),0,0,Transit,475,2,3,2846
0,-2,End,0,0,Terminal,475,2,3,2846
0,0,Start,0,0,Terminal,475,3,1,2847
0,-0.25,Walk (2 min),0,0,Transit,475,3,1,2847
0,-0.5,"Transfer
(5 min wait)",1,1,Node,475,3,1,2847
0,-1,Bus,0,0,Transit,475,3,1,2847
0,-1.5,Transfer,1,1,Node,475,3,1,2847
0,-1.75,Walk (2 min),0,0,Transit,475,3,1,2847
0,-2,End,0,0,Terminal,475,3,1,2847
0,0,"Start
(10 min wait)",0,1,Terminal,475,3,2,2847
0,-0.5,Uber/Lyft,0,0,Transit,475,3,2,2847
0,-1,End,0,1,Terminal,475,3,2,2847
0,0,Start,0,1,Terminal,475,3,3,2847
0,-0.5,Car,0,0,Transit,475,3,3,2847
0,-1,End,0,1,Terminal,475,3,3,2847
0,0,Start,0,1,Terminal,475,4,1,2848
0,-0.25,Car,0,0,Transit,475,4,1,2848
0,-0.5,"Transfer
(2 min wait)",1,0,Node,475,4,1,2848
0,-0.75,Bus,0,0,Transit,475,4,1,2848
0,-1,Transfer,1,1,Node,475,4,1,2848
0,-1.125,Walk (10 min),0,0,Transit,475,4,1,2848
0,-1.25,End,0,0,Terminal,475,4,1,2848
0,0,Start,0,0,Terminal,475,4,2,2848
0,-0.08333333333333333,Walk (5 min),0,0,Transit,475,4,2,2848
0,-0.16666666666666666,"Transfer
(2 min wait)",1,1,Node,475,4,2,2848
0,-0.3333333333333333,Bus,0,0,Transit,475,4,2,2848
0,-0.5,"Transfer
(2 min wait)",1,0,Node,475,4,2,2848
0,-0.6666666666666666,Bus,0,0,Transit,475,4,2,2848
0,-0.8333333333333333,"Transfer
(2 min wait)",1,0,Node,475,4,2,2848
0,-0.9999999999999999,Taxi,0,0,Transit,475,4,2,2848
0,-1.1666666666666667,End,0,1,Terminal,475,4,2,2848
0,0,"Start
(2 min wait)",0,1,Terminal,475,4,3,2848
0,-0.25,Uber/Lyft,0,0,Transit,475,4,3,2848
0,-0.5,"Transfer
(10 min wait)",1,0,Node,475,4,3,2848
0,-0.75,Bus,0,0,Transit,475,4,3,2848
0,-1,Transfer,1,1,Node,475,4,3,2848
0,-1.125,Walk (10 min),0,0,Transit,475,4,3,2848
0,-1.25,End,0,0,Terminal,475,4,3,2848
0,0,Start,0,1,Terminal,475,5,1,2849
0,-0.16666666666666666,Car,0,0,Transit,475,5,1,2849
0,-0.3333333333333333,"Transfer
(2 min wait)",1,0,Node,475,5,1,2849
0,-0.5,Bus,0,0,Transit,475,5,1,2849
0,-0.6666666666666666,"Transfer
(5 min wait)",1,0,Node,475,5,1,2849
0,-0.8333333333333333,Uber/Lyft,0,0,Transit,475,5,1,2849
0,-1,End,0,1,Terminal,475,5,1,2849
0,0,Start,0,1,Terminal,475,5,2,2849
0,-0.25,Car,0,0,Transit,475,5,2,2849
0,-0.5,"Transfer
(5 min wait)",1,0,Node,475,5,2,2849
0,-0.75,Bus,0,0,Transit,475,5,2,2849
0,-1,Transfer,1,1,Node,475,5,2,2849
0,-1.125,Walk (10 min),0,0,Transit,475,5,2,2849
0,-1.25,End,0,0,Terminal,475,5,2,2849
0,0,Start,0,1,Terminal,475,5,3,2849
0,-0.25,Car,0,0,Transit,475,5,3,2849
0,-0.5,"Transfer
(10 min wait)",1,0,Node,475,5,3,2849
0,-0.75,Bus,0,0,Transit,475,5,3,2849
0,-1,Transfer,1,1,Node,475,5,3,2849
0,-1.125,Walk (10 min),0,0,Transit,475,5,3,2849
0,-1.25,End,0,0,Terminal,475,5,3,2849
0,0,Start,0,0,Terminal,475,6,1,2850
0,-0.25,Walk (10 min),0,0,Transit,475,6,1,2850
0,-0.5,"Transfer
(5 min wait)",1,1,Node,475,6,1,2850
0,-1,Bus,0,0,Transit,475,6,1,2850
0,-1.5,Transfer,1,1,Node,475,6,1,2850
0,-1.75,Walk (10 min),0,0,Transit,475,6,1,2850
0,-2,End,0,0,Terminal,475,6,1,2850
0,0,"Start
(10 min wait)",0,1,Terminal,475,6,2,2850
0,-0.16666666666666666,Uber/Lyft,0,0,Transit,475,6,2,2850
0,-0.3333333333333333,"Transfer
(5 min wait)",1,0,Node,475,6,2,2850
0,-0.5,Bus,0,0,Transit,475,6,2,2850
0,-0.6666666666666666,"Transfer
(5 min wait)",1,0,Node,475,6,2,2850
0,-0.8333333333333333,Bus,0,0,Transit,475,6,2,2850
0,-1,Transfer,1,1,Node,475,6,2,2850
0,-1.0833333333333333,Walk (5 min),0,0,Transit,475,6,2,2850
0,-1.1666666666666667,End,0,0,Terminal,475,6,2,2850
0,0,"Start
(5 min wait)",0,1,Terminal,475,6,3,2850
0,-0.25,Uber/Lyft,0,0,Transit,475,6,3,2850
0,-0.5,"Transfer
(5 min wait)",1,0,Node,475,6,3,2850
0,-0.75,Bus,0,0,Transit,475,6,3,2850
0,-1,Transfer,1,1,Node,475,6,3,2850
0,-1.125,Walk (2 min),0,0,Transit,475,6,3,2850
0,-1.25,End,0,0,Terminal,475,6,3,2850
