x,y,label,node,line,labelType,respID,qID,altID,obsID
0,0,"Start
(2 min wait)",0,1,Terminal,1839,1,1,11029
0,-0.5,Uber/Lyft,0,0,Transit,1839,1,1,11029
0,-1,End,0,1,Terminal,1839,1,1,11029
0,0,Start,0,1,Terminal,1839,1,2,11029
0,-0.25,Car,0,0,Transit,1839,1,2,11029
0,-0.5,"Transfer
(10 min wait)",1,0,Node,1839,1,2,11029
0,-0.75,Bus,0,0,Transit,1839,1,2,11029
0,-1,Transfer,1,1,Node,1839,1,2,11029
0,-1.125,Walk (2 min),0,0,Transit,1839,1,2,11029
0,-1.25,End,0,0,Terminal,1839,1,2,11029
0,0,Start,0,1,Terminal,1839,1,3,11029
0,-0.16666666666666666,Car,0,0,Transit,1839,1,3,11029
0,-0.3333333333333333,"Transfer
(2 min wait)",1,0,Node,1839,1,3,11029
0,-0.5,Bus,0,0,Transit,1839,1,3,11029
0,-0.6666666666666666,"Transfer
(2 min wait)",1,0,Node,1839,1,3,11029
0,-0.8333333333333333,Uber/Lyft,0,0,Transit,1839,1,3,11029
0,-1,End,0,1,Terminal,1839,1,3,11029
0,0,"Start
(10 min wait)",0,1,Terminal,1839,2,1,11030
0,-0.25,Taxi,0,0,Transit,1839,2,1,11030
0,-0.5,"Transfer
(10 min wait)",1,0,Node,1839,2,1,11030
0,-0.75,Bus,0,0,Transit,1839,2,1,11030
0,-1,Transfer,1,1,Node,1839,2,1,11030
0,-1.125,Walk (5 min),0,0,Transit,1839,2,1,11030
0,-1.25,End,0,0,Terminal,1839,2,1,11030
0,0,Start,0,1,Terminal,1839,2,2,11030
0,-0.25,Car,0,0,Transit,1839,2,2,11030
0,-0.5,"Transfer
(5 min wait)",1,0,Node,1839,2,2,11030
0,-0.75,Bus,0,0,Transit,1839,2,2,11030
0,-1,Transfer,1,1,Node,1839,2,2,11030
0,-1.125,Walk (10 min),0,0,Transit,1839,2,2,11030
0,-1.25,End,0,0,Terminal,1839,2,2,11030
0,0,"Start
(2 min wait)",0,1,Terminal,1839,2,3,11030
0,-0.25,Uber/Lyft,0,0,Transit,1839,2,3,11030
0,-0.5,"Transfer
(2 min wait)",1,0,Node,1839,2,3,11030
0,-0.75,Bus,0,0,Transit,1839,2,3,11030
0,-1,Transfer,1,1,Node,1839,2,3,11030
0,-1.125,Walk (10 min),0,0,Transit,1839,2,3,11030
0,-1.25,End,0,0,Terminal,1839,2,3,11030
0,0,"Start
(2 min wait)",0,1,Terminal,1839,3,1,11031
0,-0.25,Taxi,0,0,Transit,1839,3,1,11031
0,-0.5,"Transfer
(10 min wait)",1,0,Node,1839,3,1,11031
0,-0.75,Bus,0,0,Transit,1839,3,1,11031
0,-1,Transfer,1,1,Node,1839,3,1,11031
0,-1.125,Walk (5 min),0,0,Transit,1839,3,1,11031
0,-1.25,End,0,0,Terminal,1839,3,1,11031
0,0,"Start
(10 min wait)",0,1,Terminal,1839,3,2,11031
0,-0.25,Taxi,0,0,Transit,1839,3,2,11031
0,-0.5,"Transfer
(10 min wait)",1,0,Node,1839,3,2,11031
0,-0.75,Bus,0,0,Transit,1839,3,2,11031
0,-1,Transfer,1,1,Node,1839,3,2,11031
0,-1.125,Walk (10 min),0,0,Transit,1839,3,2,11031
0,-1.25,End,0,0,Terminal,1839,3,2,11031
0,0,"Start
(5 min wait)",0,1,Terminal,1839,3,3,11031
0,-0.16666666666666666,Taxi,0,0,Transit,1839,3,3,11031
0,-0.3333333333333333,"Transfer
(2 min wait)",1,0,Node,1839,3,3,11031
0,-0.5,Bus,0,0,Transit,1839,3,3,11031
0,-0.6666666666666666,"Transfer
(5 min wait)",1,0,Node,1839,3,3,11031
