x,y,label,type,respID,qID,altID,obsID
0,0,Start,Node,2470,1,1,14815
0,0.08333333333333333,Walk (5 min),Walk,2470,1,1,14815
0,0.16666666666666666,Car,Vehicle,2470,1,1,14815
0,0.3333333333333333,Transfer (10 min wait),Node,2470,1,1,14815
0,0.5,Bus,Vehicle,2470,1,1,14815
0,0.6666666666666666,Transfer (5 min wait),Node,2470,1,1,14815
0,0.8333333333333333,Taxi,Vehicle,2470,1,1,14815
0,0.9166666666666666,Walk (10 min),Walk,2470,1,1,14815
0,1,End,Node,2470,1,1,14815
0,0,Start (5 min wait),Node,2470,1,2,14815
0,0.08333333333333333,Walk (10 min),Walk,2470,1,2,14815
0,0.16666666666666666,Uber/Lyft,Vehicle,2470,1,2,14815
0,0.3333333333333333,Transfer (10 min wait),Node,2470,1,2,14815
0,0.5,Bus,Vehicle,2470,1,2,14815
0,0.6666666666666666,Transfer (5 min wait),Node,2470,1,2,14815
0,0.8333333333333333,Taxi,Vehicle,2470,1,2,14815
0,1,End,Node,2470,1,2,14815
0,0,Start,Node,2470,1,3,14815
0,0.16666666666666666,Car,Vehicle,2470,1,3,14815
0,0.3333333333333333,Transfer (5 min wait),Node,2470,1,3,14815
0,0.5,Bus,Vehicle,2470,1,3,14815
0,0.6666666666666666,Transfer (5 min wait),Node,2470,1,3,14815
0,0.8333333333333333,Taxi,Vehicle,2470,1,3,14815
0,0.9166666666666666,Walk (10 min),Walk,2470,1,3,14815
0,1,End,Node,2470,1,3,14815
0,0,Start (10 min wait),Node,2470,2,1,14816
0,0.08333333333333333,Walk (5 min),Walk,2470,2,1,14816
0,0.16666666666666666,Bus,Vehicle,2470,2,1,14816
0,0.3333333333333333,Transfer (10 min wait),Node,2470,2,1,14816
0,0.5,Bus,Vehicle,2470,2,1,14816
0,0.6666666666666666,Transfer (10 min wait),Node,2470,2,1,14816
0,0.8333333333333333,Bus,Vehicle,2470,2,1,14816
0,0.9166666666666666,Walk (10 min),Walk,2470,2,1,14816
0,1,End,Node,2470,2,1,14816
