x,y,label,type,respID,qID,altID,obsID
0,0,Start (5 min wait),Node,1178,1,1,7063
0,0.08333333333333333,Walk (5 min),Walk,1178,1,1,7063
0,0.16666666666666666,Uber/Lyft,Vehicle,1178,1,1,7063
0,0.3333333333333333,Transfer (5 min wait),Node,1178,1,1,7063
0,0.5,Bus,Vehicle,1178,1,1,7063
0,0.6666666666666666,Transfer (5 min wait),Node,1178,1,1,7063
0,0.8333333333333333,Taxi,Vehicle,1178,1,1,7063
0,0.9166666666666666,Walk (10 min),Walk,1178,1,1,7063
0,1,End,Node,1178,1,1,7063
0,0,Start (5 min wait),Node,1178,1,2,7063
0,0.25,Uber/Lyft,Vehicle,1178,1,2,7063
0,0.5,Transfer (5 min wait),Node,1178,1,2,7063
0,0.75,Bus,Vehicle,1178,1,2,7063
0,1,End,Node,1178,1,2,7063
0,0,Start (5 min wait),Node,1178,1,3,7063
0,0.15,Walk (10 min),Walk,1178,1,3,7063
0,0.5,Taxi,Vehicle,1178,1,3,7063
0,0.85,Walk (5 min),Walk,1178,1,3,7063
0,1,End,Node,1178,1,3,7063
0,0,Start,Node,1178,2,1,7064
0,0.125,Walk (10 min),Walk,1178,2,1,7064
0,0.25,Car,Vehicle,1178,2,1,7064
0,0.5,Transfer (5 min wait),Node,1178,2,1,7064
0,0.75,Bus,Vehicle,1178,2,1,7064
0,0.875,Walk (5 min),Walk,1178,2,1,7064
0,1,End,Node,1178,2,1,7064
0,0,Start (10 min wait),Node,1178,2,2,7064
0,0.08333333333333333,Walk (10 min),Walk,1178,2,2,7064
0,0.16666666666666666,Taxi,Vehicle,1178,2,2,7064
0,0.3333333333333333,Transfer (5 min wait),Node,1178,2,2,7064
0,0.5,Bus,Vehicle,1178,2,2,7064
0,0.6666666666666666,Transfer (10 min wait),Node,1178,2,2,7064
0,0.8333333333333333,Uber/Lyft,Vehicle,1178,2,2,7064
0,1,End,Node,1178,2,2,7064
0,0,Start (5 min wait),Node,1178,2,3,7064
0,0.08333333333333333,Walk (10 min),Walk,1178,2,3,7064
0,0.16666666666666666,Taxi,Vehicle,1178,2,3,7064
0,0.3333333333333333,Transfer (10 min wait),Node,1178,2,3,7064
0,0.5,Bus,Vehicle,1178,2,3,7064
0,0.6666666666666666,Transfer (5 min wait),Node,1178,2,3,7064
0,0.8333333333333333,Uber/Lyft,Vehicle,1178,2,3,7064
0,1,End,Node,1178,2,3,7064
0,0,Start (5 min wait),Node,1178,3,1,7065
0,0.15,Walk (10 min),Walk,1178,3,1,7065
0,0.5,Uber/Lyft,Vehicle,1178,3,1,7065
0,0.85,Walk (5 min),Walk,1178,3,1,7065
0,1,End,Node,1178,3,1,7065
0,0,Start (5 min wait),Node,1178,3,2,7065
0,0.16666666666666666,Uber/Lyft,Vehicle,1178,3,2,7065
0,0.3333333333333333,Transfer (5 min wait),Node,1178,3,2,7065
0,0.5,Bus,Vehicle,1178,3,2,7065
0,0.6666666666666666,Transfer (5 min wait),Node,1178,3,2,7065
0,0.8333333333333333,Taxi,Vehicle,1178,3,2,7065
